"Category","Continuing students","New students"
"China",133765,14030
"India",94490,6499
"Nepal",53784,2232
"Vietnam",26688,1507
"Bangladesh",22197,2933
"Indonesia",18817,1586
"Philippines",19113,955
"Colombia",17506,283
"Sri Lanka",15024,946
"Pakistan",14919,887
"Brazil",13259,771
"Thailand",12909,404
"Republic of Korea (South)",9583,1488
"Malaysia",9682,944
"Bhutan",8120,1145
"Taiwan",8286,879
"Hong Kong SAR",8003,1081
"Kenya",6647,982
"Japan",5832,1288
"Singapore",4950,755
"United States of America",2571,2807
"Mongolia",4183,189
"Cambodia",3381,579
"Chile",3411,179
"Canada",2501,848
