Year,Sector,Enrolments,Commencements
2002,Higher Education,124941,62375
2003,Higher Education,146460,67354
2004,Higher Education,164487,73029
2005,Higher Education,178332,73696
2006,Higher Education,185945,75384
2007,Higher Education,192588,80386
2008,Higher Education,202610,89694
2009,Higher Education,226140,101943
2010,Higher Education,242504,101827
2011,Higher Education,241446,95997
2012,Higher Education,230367,89151
2013,Higher Education,230723,95708
2014,Higher Education,249356,109420
2015,Higher Education,271647,116773
2016,Higher Education,305308,130975
2017,Higher Education,349102,148706
2018,Higher Education,398091,165504
2019,Higher Education,440667,177155
2020,Higher Education,418168,136138
2002,VET,44794,24344
2003,VET,45987,24214
2004,VET,45560,25377
2005,VET,50983,29548
2006,VET,67164,40872
2007,VET,102381,63404
2008,VET,154466,95160
2009,VET,208303,118648
2010,VET,205388,106661
2011,VET,169623,97350
2012,VET,144287,84083
2013,VET,134262,83176
2014,VET,149452,99198
2015,VET,168565,108930
2016,VET,186955,118642
2017,VET,216745,136291
2018,VET,242931,146405
2019,VET,281337,168415
2020,VET,307295,168041
2002,Schools,23222,12260
2003,Schools,26947,12512
2004,Schools,27312,11313
2005,Schools,25089,10385
2006,Schools,24471,11092
2007,Schools,26758,13589
2008,Schools,28291,14279
2009,Schools,27348,12959
2010,Schools,24097,10761
2011,Schools,20724,9107
2012,Schools,18510,8392
2013,Schools,17740,8754
2014,Schools,18417,9642
2015,Schools,20525,11005
2016,Schools,23246,12352
2017,Schools,25648,13388
2018,Schools,26717,13055
2019,Schools,25483,11887
2020,Schools,20430,8188
2002,ELICOS,58442,42959
2003,ELICOS,63068,47927
2004,ELICOS,62905,46442
2005,ELICOS,65768,50582
2006,ELICOS,78445,60505
2007,ELICOS,103738,82528
2008,ELICOS,128940,102381
2009,ELICOS,139108,107292
2010,ELICOS,113884,83911
2011,ELICOS,94765,72040
2012,ELICOS,94782,74846
2013,ELICOS,113570,90261
2014,ELICOS,135054,105263
2015,ELICOS,143387,109787
2016,ELICOS,149324,113606
2017,ELICOS,154155,116632
2018,ELICOS,154740,116349
2019,ELICOS,156570,117386
2020,ELICOS,104626,66531
2002,Non-award,23518,19573
2003,Non-award,25613,21145
2004,Non-award,25533,21214
2005,Non-award,25658,21502
2006,Non-award,25555,21434
2007,Non-award,26774,22474
2008,Non-award,29539,24675
2009,Non-award,30938,24946
2010,Non-award,30856,24349
2011,Non-award,27568,21488
2012,Non-award,25105,20451
2013,Non-award,27920,22801
2014,Non-award,34193,28025
2015,Non-award,37590,29034
2016,Non-award,44044,34774
2017,Non-award,49981,37033
2018,Non-award,49845,37039
2019,Non-award,48214,35731
2020,Non-award,31963,20060
