Country,Continuing,New,Students
China,133765,14030,147795
India,94490,6499,100989
Nepal,53784,2232,56016
Vietnam,26688,1507,28195
Bangladesh,22197,2933,25130
Indonesia,18817,1586,20403
Philippines,19113,955,20068
Colombia,17506,283,17789
Sri Lanka,15024,946,15970
Pakistan,14919,887,15806
Brazil,13259,771,14030
Thailand,12909,404,13313
Republic of Korea (South),9583,1488,11071
Malaysia,9682,944,10626
Bhutan,8120,1145,9265
Taiwan,8286,879,9165
Hong Kong SAR,8003,1081,9084
Kenya,6647,982,7629
Japan,5832,1288,7120
Singapore,4950,755,5705
United States of America,2571,2807,5378
Mongolia,4183,189,4372
Cambodia,3381,579,3960
Chile,3411,179,3590
Canada,2501,848,3349
