"State","Category","Continuing students","New students"
"ACT","China",4408,693
"ACT","India",2040,261
"ACT","Nepal",1319,46
"ACT","Bhutan",684,57
"ACT","Vietnam",382,39
"ACT","Bangladesh",263,64
"ACT","Pakistan",288,29
"ACT","Indonesia",267,47
"ACT","Philippines",282,28
"ACT","Republic of Korea (South)",161,43
"ACT","Malaysia",143,40
"ACT","Taiwan",131,17
"ACT","Sri Lanka",130,17
"ACT","Hong Kong SAR",109,36
"ACT","Japan",82,18
"ACT","Singapore",76,15
"ACT","United Kingdom",67,20
"ACT","United States of America",50,29
"ACT","Thailand",67,8
"ACT","Colombia",61,2
"ACT","Iran",58,3
"ACT","Saudi Arabia",49,11
"ACT","Brazil",48,4
"ACT","Kenya",48,4
"ACT","Mongolia",49,2
