"Category","Continuing students","New students"
"China",64881,8098
"Nepal",33474,1190
"India",24323,2239
"Bangladesh",10855,1042
"Indonesia",9550,667
"Vietnam",9337,640
"Philippines",7017,331
"Thailand",6613,157
"Pakistan",6084,305
"Brazil",5825,258
"Colombia",5416,57
"Republic of Korea (South)",4290,629
"Mongolia",3207,129
"Hong Kong SAR",2737,489
"Taiwan",2602,292
"Malaysia",2584,299
"United States of America",767,1976
"Kenya",1720,382
"Japan",1626,274
"Fiji",1508,49
"Singapore",1307,232
"Sri Lanka",1333,127
"Turkiye",1080,68
"Chile",1061,51
"Saudi Arabia",961,36
