"State:,"Category","Continuing students","New students"
"NT","Nepal",1196,4
"NT","India",745,1
"NT","Bangladesh",493,1
"NT","Philippines",238,4
"NT","Vietnam",211,12
"NT","China",207,4
"NT","Pakistan",205,3
"NT","Indonesia",80,16
"NT","Sri Lanka",83,2
"NT","Kenya",55,3
"NT","Colombia",38,0
"NT","Bhutan",25,0
"NT","Thailand",19,4
"NT","United Kingdom",18,1
"NT","Nigeria",18,0
"NT","Brazil",18,0
"NT","Taiwan",16,1
"NT","Cambodia",14,1
"NT","Zimbabwe",13,1
"NT","Fiji",12,1
"NT","Malaysia",12,0
"NT","Ethiopia",10,0
"NT","Timor-Leste",10,0
"NT","Germany",10,0
"NT","Peru",9,0
