"Category","Continuing students","New students"
"China",14548,2145
"India",12012,1056
"Brazil",4527,322
"Colombia",3849,94
"Philippines",3554,186
"Nepal",3495,172
"Republic of Korea (South)",2628,395
"Taiwan",2369,284
"Japan",1858,381
"Vietnam",2083,138
"Thailand",1688,81
"Hong Kong SAR",1479,170
"Indonesia",1297,230
"United States of America",850,500
"Bangladesh",1138,183
"Canada",1056,242
"Sri Lanka",1161,98
"Spain",1072,142
"Bhutan",1136,65
"Malaysia",1002,172
"Papua New Guinea",981,129
"Chile",979,60
"Pakistan",900,69
"Singapore",747,158
"Kenya",722,78
