"Category","Continuing students","New students"
"India",7978,511
"China",6245,449
"Nepal",2560,107
"Vietnam",2242,102
"Bangladesh",1361,135
"Hong Kong SAR",916,134
"Sri Lanka",920,71
"Philippines",937,46
"Colombia",924,12
"Kenya",752,41
"Brazil",562,39
"Pakistan",528,31
"Malaysia",464,46
"Indonesia",405,68
"Singapore",399,52
"Japan",287,145
"Republic of Korea (South)",369,59
"Taiwan",370,32
"Thailand",304,12
"Cambodia",243,30
"Canada",162,44
"Iran",175,22
"Germany",125,55
"Saudi Arabia",164,4
"Nigeria",139,8
