"Category","Continuing students","New students"
"Nepal",952,46
"India",717,39
"Bangladesh",428,219
"China",508,67
"Pakistan",456,53
"Vietnam",232,30
"Sri Lanka",202,25
"Colombia",157,0
"Philippines",123,13
"Taiwan",96,25
"Hong Kong SAR",98,14
"Saudi Arabia",74,25
"Brazil",70,21
"Malaysia",76,15
"Republic of Korea (South)",59,24
"Indonesia",62,12
"Japan",44,24
"Nigeria",52,12
"Kenya",52,9
"Thailand",46,12
"United States of America",34,16
"Chile",46,3
"United Kingdom",34,14
"Singapore",39,6
"Germany",28,13
