"Category","Continuing students","New students"
"India",40083,1417
"China",37733,1853
"Vietnam",10554,407
"Sri Lanka",9824,408
"Nepal",8145,247
"Indonesia",5746,342
"Colombia",5836,80
"Bangladesh",5199,370
"Philippines",5195,220
"Malaysia",4382,207
"Pakistan",4020,92
"Thailand",3848,102
"Cambodia",2192,391
"Taiwan",2213,172
"Hong Kong SAR",1998,145
"Kenya",1882,167
"Republic of Korea (South)",1606,236
"Japan",1468,178
"Saudi Arabia",1285,312
"Singapore",1479,111
"Turkiye",1206,71
"Brazil",1159,74
"Chile",862,39
"Iran",840,38
"Mexico",630,172
