"Category","Continuing students","New students"
"India",7736,975
"Bhutan",5824,998
"China",5555,724
"Bangladesh",2654,920
"Nepal",2912,421
"Pakistan",2582,306
"Philippines",1783,127
"Vietnam",1681,139
"Kenya",1445,298
"Indonesia",1432,204
"Sri Lanka",1394,198
"Colombia",1239,38
"Malaysia",1024,165
"Brazil",1058,53
"Singapore",907,181
"Hong Kong SAR",662,93
"Japan",468,268
"Republic of Korea (South)",488,104
"United Kingdom",483,109
"Mauritius",524,44
"Taiwan",507,56
"France",398,99
"Zimbabwe",402,46
"Italy",308,70
"Thailand",335,28
